step,num_features,features,mae,rmse
1,76,"['v_3', 'v_12', 'v_0', 'v_pca_0', 'v_pca_2', 'notRepairedDamage', 'v_pca_1', 'km_age', 'v_10', 'km_bin', 'power_log', 'car_age_log', 'regYear_from_now', 'notRepairedDamage_missing', 'brand_price_std', 'age_segment', 'regYear', 'kilometer_log', 'car_age_days', 'power', 'kilometer', 'brand_price_count', 'v_6', 'v_pca_4', 'car_age', 'v_9', 'v_11', 'brand_model_freq', 'v_1', 'v_pca_3', 'model_freq', 'v_8', 'gearbox_missing', 'brand_price_ratio', 'brand_regYear_bin', 'brand_power_bin_freq', 'v_14', 'brand_bodyType', 'fuelType_missing', 'km_per_year', 'power_age', 'brand_age_segment_freq', 'brand_price_mean', 'v_13', 'v_5', 'v_pca_8', 'brand_price_median', 'v_pca_5', 'brand_km_bin', 'v_pca_9', 'v_2', 'v_pca_6', 'v_pca_7', 'v_4', 'v_7', 'power_bin', 'creatMonth', 'regSeason', 'creatDay', 'regMonth', 'regDay', 'regionCode', 'fuelType', 'bodyType', 'gearbox', 'brand', 'model', 'name', 'power_outlier', 'creatSeason', 'bodyType_missing', 'creatYear', 'creatYear_from_now', 'regYear_bin', 'v_0_outlier', 'is_new_car']",546.772663670864,1214.432596669645
2,75,"['v_3', 'v_12', 'v_0', 'v_pca_0', 'v_pca_2', 'notRepairedDamage', 'v_10', 'km_bin', 'power', 'v_pca_1', 'kilometer_log', 'km_age', 'kilometer', 'car_age', 'notRepairedDamage_missing', 'power_log', 'car_age_days', 'car_age_log', 'age_segment', 'regYear_bin', 'v_1', 'v_6', 'brand_price_count', 'v_11', 'v_14', 'regYear', 'brand_price_std', 'regYear_from_now', 'v_pca_4', 'v_8', 'bodyType', 'model_freq', 'gearbox', 'v_4', 'gearbox_missing', 'brand', 'brand_power_bin_freq', 'v_13', 'brand_km_bin', 'v_9', 'brand_price_mean', 'brand_price_ratio', 'v_2', 'fuelType', 'brand_price_median', 'v_pca_3', 'v_5', 'km_per_year', 'power_age', 'brand_model_freq', 'brand_bodyType', 'brand_regYear_bin', 'v_pca_8', 'v_pca_5', 'brand_age_segment_freq', 'v_7', 'name', 'fuelType_missing', 'v_pca_6', 'v_pca_7', 'creatMonth', 'model', 'regionCode', 'v_pca_9', 'regMonth', 'creatDay', 'regDay', 'regSeason', 'power_bin', 'v_0_outlier', 'power_outlier', 'creatSeason', 'bodyType_missing', 'creatYear', 'creatYear_from_now']",543.1794994163746,1210.6195867707856
3,74,"['v_3', 'v_12', 'power_bin', 'v_0', 'v_pca_0', 'v_pca_2', 'notRepairedDamage', 'v_10', 'v_pca_1', 'km_age', 'regYear', 'km_bin', 'power', 'kilometer', 'notRepairedDamage_missing', 'car_age', 'car_age_days', 'kilometer_log', 'age_segment', 'v_6', 'regYear_from_now', 'power_log', 'brand_price_std', 'v_1', 'regYear_bin', 'v_9', 'v_pca_4', 'brand_model_freq', 'v_11', 'brand_price_count', 'car_age_log', 'v_8', 'brand_regYear_bin', 'brand_power_bin_freq', 'v_pca_3', 'gearbox_missing', 'v_14', 'brand_price_mean', 'bodyType', 'brand_bodyType', 'model_freq', 'gearbox', 'v_5', 'v_2', 'km_per_year', 'fuelType_missing', 'power_age', 'v_13', 'fuelType', 'brand_price_median', 'brand_km_bin', 'v_pca_5', 'brand', 'brand_age_segment_freq', 'v_4', 'v_pca_8', 'v_pca_6', 'v_7', 'model', 'v_pca_7', 'v_pca_9', 'name', 'regionCode', 'creatMonth', 'regSeason', 'regMonth', 'creatDay', 'regDay', 'brand_price_ratio', 'creatSeason', 'creatYear', 'v_0_outlier', 'power_outlier', 'bodyType_missing']",544.1490014559226,1213.5429983144813
4,73,"['v_3', 'v_12', 'v_0', 'v_pca_2', 'v_pca_0', 'notRepairedDamage', 'km_bin', 'v_10', 'v_pca_1', 'car_age_log', 'power_log', 'km_age', 'power', 'kilometer', 'notRepairedDamage_missing', 'regYear_from_now', 'car_age_days', 'car_age', 'age_segment', 'brand_price_count', 'v_1', 'kilometer_log', 'v_6', 'bodyType', 'brand_price_ratio', 'brand_price_std', 'v_11', 'gearbox_missing', 'v_14', 'model_freq', 'v_pca_4', 'regYear', 'v_8', 'brand_power_bin_freq', 'brand', 'v_4', 'gearbox', 'v_13', 'brand_price_mean', 'brand_km_bin', 'v_5', 'fuelType', 'km_per_year', 'v_2', 'v_9', 'brand_bodyType', 'power_age', 'brand_regYear_bin', 'brand_model_freq', 'v_pca_3', 'fuelType_missing', 'v_7', 'v_pca_5', 'brand_age_segment_freq', 'v_pca_8', 'brand_price_median', 'v_pca_6', 'model', 'v_pca_7', 'name', 'regionCode', 'v_pca_9', 'creatMonth', 'regMonth', 'creatDay', 'power_bin', 'regSeason', 'regDay', 'creatSeason', 'v_0_outlier', 'power_outlier', 'creatYear', 'regYear_bin']",544.4656355412027,1213.968960213679
5,72,"['v_3', 'v_12', 'v_0', 'v_pca_2', 'v_pca_1', 'v_pca_0', 'regYear', 'notRepairedDamage', 'power_bin', 'v_10', 'km_age', 'car_age_days', 'power', 'kilometer', 'km_bin', 'power_log', 'brand_price_std', 'notRepairedDamage_missing', 'v_6', 'kilometer_log', 'car_age_log', 'age_segment', 'v_9', 'v_1', 'v_8', 'v_pca_4', 'v_11', 'brand_model_freq', 'brand_regYear_bin', 'brand_price_count', 'regYear_from_now', 'v_pca_3', 'brand_power_bin_freq', 'brand_price_mean', 'fuelType_missing', 'gearbox_missing', 'v_14', 'v_2', 'v_5', 'fuelType', 'bodyType', 'brand_bodyType', 'brand_price_median', 'km_per_year', 'power_age', 'gearbox', 'model_freq', 'v_13', 'brand_km_bin', 'v_pca_5', 'v_pca_8', 'brand', 'v_4', 'model', 'v_pca_6', 'creatMonth', 'v_pca_9', 'brand_price_ratio', 'v_7', 'v_pca_7', 'brand_age_segment_freq', 'name', 'regionCode', 'creatDay', 'regMonth', 'regSeason', 'regDay', 'car_age', 'regYear_bin', 'creatYear', 'creatSeason', 'v_0_outlier']",543.4059297405062,1212.3572121673221
6,71,"['v_3', 'v_12', 'v_0', 'v_pca_2', 'v_pca_0', 'v_pca_1', 'notRepairedDamage', 'kilometer', 'v_10', 'km_bin', 'regYear_from_now', 'km_age', 'power', 'car_age_days', 'notRepairedDamage_missing', 'power_log', 'car_age_log', 'age_segment', 'brand_price_count', 'v_6', 'v_1', 'kilometer_log', 'brand', 'brand_price_ratio', 'model_freq', 'v_pca_4', 'v_14', 'v_11', 'brand_price_std', 'power_bin', 'v_2', 'v_8', 'gearbox_missing', 'brand_power_bin_freq', 'v_4', 'bodyType', 'brand_km_bin', 'v_5', 'regYear', 'v_13', 'brand_bodyType', 'brand_price_mean', 'brand_model_freq', 'power_age', 'gearbox', 'km_per_year', 'v_9', 'fuelType_missing', 'v_pca_3', 'brand_price_median', 'fuelType', 'brand_age_segment_freq', 'v_pca_5', 'brand_regYear_bin', 'v_pca_8', 'v_7', 'v_pca_6', 'v_pca_7', 'name', 'v_pca_9', 'model', 'creatMonth', 'regionCode', 'regSeason', 'creatDay', 'car_age', 'regMonth', 'regDay', 'regYear_bin', 'creatSeason', 'creatYear']",540.4157599007052,1215.1167386812467
7,70,"['v_3', 'v_12', 'v_0', 'power_bin', 'v_pca_2', 'kilometer_log', 'v_pca_1', 'v_pca_0', 'notRepairedDamage', 'v_10', 'km_age', 'car_age_days', 'power', 'notRepairedDamage_missing', 'brand_price_std', 'kilometer', 'power_log', 'car_age', 'regYear', 'v_6', 'km_bin', 'car_age_log', 'v_1', 'age_segment', 'v_8', 'v_9', 'v_11', 'brand_model_freq', 'v_pca_3', 'gearbox_missing', 'v_14', 'v_pca_4', 'brand_regYear_bin', 'brand_price_count', 'brand_power_bin_freq', 'bodyType', 'fuelType_missing', 'v_5', 'regYear_from_now', 'gearbox', 'v_2', 'fuelType', 'power_age', 'model_freq', 'brand_price_mean', 'km_per_year', 'brand_bodyType', 'brand_price_median', 'brand_km_bin', 'v_13', 'v_pca_8', 'v_pca_5', 'v_4', 'brand_age_segment_freq', 'v_pca_6', 'model', 'v_pca_7', 'v_7', 'name', 'v_pca_9', 'brand_price_ratio', 'regionCode', 'creatMonth', 'regMonth', 'creatDay', 'regDay', 'regSeason', 'brand', 'regYear_bin', 'creatSeason']",553.8373766549003,1217.3222813059251
8,69,"['v_3', 'v_12', 'v_pca_2', 'v_0', 'km_bin', 'v_pca_0', 'notRepairedDamage', 'kilometer', 'v_10', 'v_pca_1', 'km_age', 'power_log', 'power', 'notRepairedDamage_missing', 'regYear', 'car_age', 'kilometer_log', 'car_age_log', 'brand_price_count', 'car_age_days', 'v_6', 'v_1', 'regYear_from_now', 'v_pca_4', 'age_segment', 'bodyType', 'brand_price_std', 'v_11', 'model_freq', 'v_8', 'brand', 'v_4', 'brand_power_bin_freq', 'v_9', 'gearbox', 'gearbox_missing', 'v_14', 'brand_km_bin', 'v_13', 'v_5', 'brand_price_mean', 'brand_price_ratio', 'v_2', 'power_age', 'km_per_year', 'brand_bodyType', 'fuelType', 'brand_model_freq', 'v_pca_3', 'v_7', 'brand_age_segment_freq', 'v_pca_5', 'creatMonth', 'brand_regYear_bin', 'v_pca_8', 'fuelType_missing', 'brand_price_median', 'v_pca_7', 'v_pca_9', 'v_pca_6', 'name', 'regSeason', 'regionCode', 'power_bin', 'model', 'regDay', 'regMonth', 'creatDay', 'regYear_bin']",551.5672074414344,1217.7705449667667
9,68,"['v_3', 'v_12', 'v_0', 'v_pca_2', 'power_bin', 'v_pca_0', 'notRepairedDamage', 'v_pca_1', 'v_10', 'km_age', 'car_age_log', 'power_log', 'power', 'age_segment', 'km_bin', 'notRepairedDamage_missing', 'v_8', 'car_age', 'car_age_days', 'kilometer', 'regYear_from_now', 'kilometer_log', 'v_1', 'brand_price_std', 'v_6', 'bodyType', 'v_9', 'brand_price_ratio', 'v_11', 'v_pca_3', 'brand_regYear_bin', 'brand_model_freq', 'v_pca_4', 'v_14', 'brand_price_count', 'regYear', 'gearbox_missing', 'brand_power_bin_freq', 'v_2', 'v_5', 'gearbox', 'brand_price_mean', 'brand_bodyType', 'km_per_year', 'power_age', 'fuelType', 'brand_age_segment_freq', 'v_13', 'model_freq', 'brand_price_median', 'fuelType_missing', 'v_7', 'v_pca_8', 'brand_km_bin', 'v_pca_5', 'v_pca_6', 'name', 'v_pca_7', 'v_4', 'regionCode', 'creatMonth', 'model', 'v_pca_9', 'brand', 'creatDay', 'regMonth', 'regDay', 'regSeason']",534.161525921839,1194.2352666121515
10,67,"['v_3', 'v_12', 'v_pca_2', 'v_0', 'v_pca_0', 'notRepairedDamage', 'km_bin', 'v_pca_1', 'v_10', 'regYear', 'power', 'km_age', 'kilometer', 'power_log', 'regYear_from_now', 'notRepairedDamage_missing', 'car_age_log', 'age_segment', 'car_age_days', 'brand_price_count', 'v_6', 'kilometer_log', 'car_age', 'bodyType', 'v_1', 'brand_price_std', 'model_freq', 'brand', 'v_14', 'v_pca_4', 'fuelType_missing', 'v_11', 'brand_price_mean', 'gearbox_missing', 'v_8', 'v_4', 'brand_power_bin_freq', 'brand_bodyType', 'v_5', 'v_13', 'v_2', 'gearbox', 'km_per_year', 'power_age', 'v_9', 'brand_model_freq', 'fuelType', 'v_pca_3', 'brand_km_bin', 'brand_price_median', 'power_bin', 'brand_price_ratio', 'brand_age_segment_freq', 'v_pca_5', 'v_pca_8', 'v_pca_6', 'v_7', 'v_pca_9', 'v_pca_7', 'creatMonth', 'model', 'brand_regYear_bin', 'name', 'regionCode', 'regSeason', 'creatDay', 'regMonth']",539.820531154916,1200.0687530800244
