feature,importance
total_purchase_amt_lag31,58
total_purchase_amt_sum_30d,41
total_purchase_amt_lag38,39
total_redeem_amt_sum_30d,33
total_purchase_amt_lag60,31
total_purchase_amt_std_30d,28
mfd_7daily_yield_lag1,27
mfd_daily_yield_lag1,23
constellation,23
total_redeem_amt_mean_30d,21
Interest_1_W_lag1,20
total_purchase_amt_lag45,20
total_purchase_amt_std_7d,19
total_purchase_amt_mean_7d,19
total_redeem_amt_lag38,18
total_purchase_amt_sum_7d,16
weekday,16
total_purchase_amt_sum_14d,16
total_purchase_amt_mean_14d,14
total_redeem_amt_sum_14d,13
total_purchase_amt_std_14d,13
day,13
total_redeem_amt_std_14d,13
total_purchase_amt_mean_30d,12
Interest_3_M_lag1,11
total_redeem_amt_mean_14d,11
total_redeem_amt_mean_7d,10
Interest_2_W_lag1,10
total_redeem_amt_std_7d,8
Interest_1_M_lag1,8
total_redeem_amt_lag31,7
is_holiday,7
total_redeem_amt_std_30d,6
Interest_1_Y_lag1,6
city,6
total_redeem_amt_lag45,5
Interest_O_N_lag1,5
sex,4
total_redeem_amt_sum_7d,3
Interest_9_M_lag1,3
holiday_len,2
is_next_workday,1
Interest_6_M_lag1,1
total_redeem_amt_lag60,0
is_festival_eve,0
is_quarter_end,0
month_period,0
is_month_start,0
is_month_end,0
month,0
is_new_user,0
