feature,importance
total_purchase_amt_lag31,63
total_purchase_amt_lag45,58
total_purchase_amt_lag38,48
Interest_1_M_lag1,44
constellation,38
mfd_daily_yield_lag1,35
total_purchase_amt_lag60,34
mfd_7daily_yield_lag1,32
total_purchase_amt_sum_30d,32
total_purchase_amt_std_30d,30
total_purchase_amt_std_14d,30
day,29
total_purchase_amt_std_7d,26
total_redeem_amt_std_30d,24
total_redeem_amt_mean_30d,23
Interest_O_N_lag1,22
total_redeem_amt_lag60,21
total_purchase_amt_mean_30d,21
total_redeem_amt_sum_30d,20
total_redeem_amt_mean_7d,19
is_holiday,17
total_purchase_amt_mean_7d,17
total_purchase_amt_sum_7d,17
total_redeem_amt_std_14d,16
total_redeem_amt_sum_14d,16
total_redeem_amt_lag45,16
total_purchase_amt_mean_14d,15
Interest_1_W_lag1,15
total_purchase_amt_sum_14d,14
total_redeem_amt_std_7d,13
total_redeem_amt_mean_14d,12
total_redeem_amt_lag31,9
month,9
Interest_3_M_lag1,9
is_next_workday,9
Interest_2_W_lag1,8
city,7
weekday,7
total_redeem_amt_lag38,6
sex,5
total_redeem_amt_sum_7d,4
Interest_9_M_lag1,3
is_festival_eve,2
Interest_6_M_lag1,2
holiday_len,1
is_quarter_end,1
month_period,1
is_month_start,0
is_month_end,0
Interest_1_Y_lag1,0
is_new_user,0
